Zip,Household Income Median
92014,155531
92025,58273
92027,65989
92037,109194
92071,87334
92101,71925
92102,51744
92103,78720
92104,67668
92105,43282
92106,103840
92107,85299
92108,75296
92109,80467
92110,73651
92111,74217
92113,40310
92114,66015
92115,51636
92116,74559
92117,86243
92119,92500
92120,97747
92121,107786
92122,79816
92123,81899
92124,93147
92126,96915
92127,138338
92128,103238
92129,125250
92130,155452
92131,137500
92139,69541
92145,202266
92154,66498
92173,46549
,
https://simplemaps.com/city/san-diego/zips/income-household-median,
