"title","address","gasPrices/0/currency","gasPrices/0/gasType","gasPrices/0/price","gasPrices/0/priceTag","gasPrices/0/unit","gasPrices/0/updatedAt","gasPrices/1/currency","gasPrices/1/gasType","gasPrices/1/price","gasPrices/1/priceTag","gasPrices/1/unit","gasPrices/1/updatedAt","gasPrices/2/currency","gasPrices/2/gasType","gasPrices/2/price","gasPrices/2/priceTag","gasPrices/2/unit","gasPrices/2/updatedAt","gasPrices/3/currency","gasPrices/3/gasType","gasPrices/3/price","gasPrices/3/priceTag","gasPrices/3/unit","gasPrices/3/updatedAt","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
"Shell","1011 A St, San Diego, CA 92101","USD","Regular","7","$7.00","gallon","2023-10-03T09:20:18.000Z","USD","Midgrade","7.11","$7.11","gallon","2023-10-02T19:38:42.000Z","USD","Premium","7.2","$7.20","gallon","2023-10-02T13:26:42.000Z",,,,,,,"https://find.shell.com/us/fuel/10008234-1011-a-st","(619) 232-2906","3.3","4","124","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7185443,-117.1550452,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954a0d7ccd0db:0xfefe67980ce0a72!8m2!3d32.7185443!4d-117.1550452!16s%2Fg%2F1tgm34bl?hl=en&entry=ttu"
"Shell","2777 Health Center Dr, San Diego, CA 92123","USD","Regular","7","$7.00","gallon","2023-10-02T15:59:32.000Z","USD","Midgrade","7.2","$7.20","gallon","2023-10-02T19:28:22.000Z","USD","Premium","7.3","$7.30","gallon","2023-10-02T19:28:22.000Z","USD","Diesel","7.3","$7.30","gallon","2023-10-03T04:43:15.000Z","https://find.shell.com/us/fuel/12476277-2777-health-center-dr","(859) 279-3673","3.5","3","40","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7930186,-117.1566072,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9555bf27ef6c9:0xd08926b19f84471e!8m2!3d32.7930186!4d-117.1566072!16s%2Fg%2F11byxgp06z?hl=en&entry=ttu"
"Texas Street Valero","4616 Texas St, San Diego, CA 92116","USD","Regular","6.4","$6.40","gallon","2023-10-03T05:53:19.000Z","USD","Midgrade","6.6","$6.60","gallon","2023-10-03T05:53:19.000Z","USD","Premium","6.8","$6.80","gallon","2023-10-03T05:53:19.000Z","USD","Diesel","6.5","$6.50","gallon","2023-10-03T05:53:19.000Z",,"(619) 296-4913","4.1","37","235","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Texas+Street+Valero/@32.7613052,-117.1391355,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954e2af70bec7:0x4b0a9367d5d3cfe6!8m2!3d32.7613052!4d-117.1391355!16s%2Fg%2F1w6r8kpm?hl=en&entry=ttu"
"Chevron","7070 Clairemont Mesa Blvd, San Diego, CA 92117","USD","Regular","6.3","$6.30","gallon","2023-10-03T09:15:59.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-03T09:15:59.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-03T09:15:59.000Z","USD","Diesel","6.3","$6.30","gallon","2023-10-03T09:15:59.000Z","http://www.chevronwithtechron.com/stations/station-finder.aspx","(858) 922-4894","3.7","35","20","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.8330281,-117.164281,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbff848b967803:0xbed3dab4ab1cd85e!8m2!3d32.8330281!4d-117.164281!16s%2Fg%2F11_t03_jh?hl=en&entry=ttu"
"Laurel Pacific Gas (Valero)","2499 Pacific Hwy, San Diego, CA 92101","USD","Regular","6.8","$6.80","gallon","2023-10-03T09:17:23.000Z","USD","Midgrade","6.9","$6.90","gallon","2023-10-02T05:37:50.000Z","USD","Premium","7","$7.00","gallon","2023-10-02T10:00:45.000Z","USD","Diesel","6.8","$6.80","gallon","2023-10-03T08:24:45.000Z","https://locations.valero.com/en-us/LocationDetails/Index/2499-PACIFIC-HWY/0000027375","(619) 338-4965","3.7","36","147","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Laurel+Pacific+Gas+(Valero)/@32.7294036,-117.1733656,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954b4cd0cbadd:0x40e05c1bd89912be!8m2!3d32.7294036!4d-117.1733656!16s%2Fg%2F11h3ytpmy7?hl=en&entry=ttu"
"ARCO","6130 Balboa Ave, San Diego, CA 92111","USD","Regular","6.6","$6.60","gallon","2023-10-03T07:48:27.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-10-03T07:42:12.000Z","USD","Premium","7","$7.00","gallon","2023-10-03T07:42:12.000Z",,,,,,,"https://www.arco.com/en-us/southwest/find-a-station/","(858) 737-4122","3.6","60","144","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.820635,-117.1755921,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc0075d0fcff4d:0x62fe5560573eba08!8m2!3d32.820635!4d-117.1755921!16s%2Fg%2F1q6j7gn_b?hl=en&entry=ttu"
"Shell","3425 Midway Dr, San Diego, CA 92110","USD","Regular","6.31","$6.31","gallon","2023-10-03T07:58:25.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-03T02:07:49.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-03T07:56:25.000Z","USD","Diesel","6.3","$6.30","gallon","2023-10-03T06:42:03.000Z","https://find.shell.com/us/fuel/10013499-3425-midway-dr","(619) 758-1412","3.7","80","96","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7503731,-117.2127401,17z/data=!3m1!4b1!4m6!3m5!1s0x80deaafb8e730437:0xf301338ba5285fdb!8m2!3d32.7503731!4d-117.2127401!16s%2Fg%2F1tfl9zhj?hl=en&entry=ttu"
"Speedway","3255 University Ave, San Diego, CA 92104","USD","Regular","6.3","$6.30","gallon","2023-10-03T05:28:07.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-02T06:15:00.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-02T06:15:00.000Z","USD","Diesel","6.29","$6.29","gallon","2023-10-02T06:15:00.000Z","https://www.speedway.com/locations/CA/San-Diego/3255-UNIVERSITY-AVE","(619) 283-2517","3.6","87","30","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Speedway/@32.7483067,-117.1236449,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9545ee03a97f7:0xe3dda0f9af02da99!8m2!3d32.7483067!4d-117.1236449!16s%2Fg%2F1w15zqyv?hl=en&entry=ttu"
"Shell","7448 Jackson Dr, San Diego, CA 92119","USD","Regular","6.7","$6.70","gallon","2023-10-02T13:32:50.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-10-01T05:02:45.000Z","USD","Premium","7","$7.00","gallon","2023-10-02T14:33:39.000Z","USD","Diesel","6.4","$6.40","gallon","2023-10-01T05:02:45.000Z","https://find.shell.com/us/fuel/12722195-7448-jackson-dr","(619) 504-4569","4","100","6","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.8034788,-117.0462848,17z/data=!3m1!4b1!4m6!3m5!1s0x80d957b07ebaf791:0x588d8a882aaa63ab!8m2!3d32.8034788!4d-117.0462848!16s%2Fg%2F11fqkw11lc?hl=en&entry=ttu"
"US-80 Fuel Plaza","4099 El Cajon Blvd, San Diego, CA 92105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"115","0","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/US-80+Fuel+Plaza/@32.7551106,-117.1071995,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955db2bb01bf3:0x9a017a711336d848!8m2!3d32.7551106!4d-117.1071995!16s%2Fg%2F11sqgfhvcr?hl=en&entry=ttu"
"MCX Gas Station","2499, San Diego, CA 92126",,,,,,,,,,,,,,,,,,,,,,,,,"http://www.mymcx.com/index.cfm/locations/miramar/services/convenience-stores/","(858) 695-7300","4.4","113","164","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/MCX+Gas+Station/@32.8903233,-117.1240261,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbfed52c58fdb5:0x1f360cb605e13a67!8m2!3d32.8903233!4d-117.1240261!16s%2Fg%2F11fz9gwkq7?hl=en&entry=ttu"
