"title","address","gasPrices/0/currency","gasPrices/0/gasType","gasPrices/0/price","gasPrices/0/priceTag","gasPrices/0/unit","gasPrices/0/updatedAt","gasPrices/1/currency","gasPrices/1/gasType","gasPrices/1/price","gasPrices/1/priceTag","gasPrices/1/unit","gasPrices/1/updatedAt","gasPrices/2/currency","gasPrices/2/gasType","gasPrices/2/price","gasPrices/2/priceTag","gasPrices/2/unit","gasPrices/2/updatedAt","gasPrices/3/currency","gasPrices/3/gasType","gasPrices/3/price","gasPrices/3/priceTag","gasPrices/3/unit","gasPrices/3/updatedAt","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
"Fashion Valley Gas","6899 Friars Rd, San Diego, CA 92108","USD","Regular","6.4","$6.40","gallon","2023-10-02T08:50:29.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-01T18:08:43.000Z","USD","Premium","6.6","$6.60","gallon","2023-09-30T16:48:07.000Z",,,,,,,,"(619) 295-1169","4.2","2","136","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Fashion+Valley+Gas/@32.7683463,-117.1719233,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955336c1a98a7:0x708407143a6c430c!8m2!3d32.7683463!4d-117.1719233!16s%2Fg%2F11bw1xjhgd?hl=en&entry=ttu"
"Shell","2777 Health Center Dr, San Diego, CA 92123","USD","Regular","7.01","$7.01","gallon","2023-10-02T11:26:11.000Z","USD","Midgrade","7.2","$7.20","gallon","2023-10-02T12:03:22.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-02T09:14:17.000Z","USD","Diesel","7.3","$7.30","gallon","2023-10-01T00:30:12.000Z","https://find.shell.com/us/fuel/12476277-2777-health-center-dr","(859) 279-3673","3.5","3","40","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7930186,-117.1566072,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9555bf27ef6c9:0xd08926b19f84471e!8m2!3d32.7930186!4d-117.1566072!16s%2Fg%2F11byxgp06z?hl=en&entry=ttu"
"Mobil","10496 Clairemont Mesa Blvd, San Diego, CA 92124","USD","Regular","6","$6.00","gallon","2023-10-02T13:00:11.000Z","USD","Midgrade","6.4","$6.40","gallon","2023-10-01T13:35:00.000Z","USD","Premium","6.4","$6.40","gallon","2023-10-02T09:19:29.000Z","USD","Diesel","6.9","$6.90","gallon","2023-10-02T10:05:01.000Z","https://www.exxon.com/en/find-station/MOBIL-SANDIEGO-CA-HJDINVESTMENTSIILLC-200310702?utm_source=google&utm_medium=organic&utm_campaign=gmb","(858) 565-1627","4.3","7","65","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Mobil/@32.8297854,-117.1037291,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbfe3e320c311b:0xc9c37b8a929508ca!8m2!3d32.8297854!4d-117.1037291!16s%2Fg%2F1tf28_0j?hl=en&entry=ttu"
"Shell","2521 Pacific Hwy, San Diego, CA 92101","USD","Regular","7","$7.00","gallon","2023-10-02T15:21:32.000Z","USD","Midgrade","7.2","$7.20","gallon","2023-09-30T10:30:08.000Z","USD","Premium","7.3","$7.30","gallon","2023-10-02T15:17:31.000Z",,,,,,,"https://find.shell.com/us/fuel/10008237-2521-pacific-highway","(619) 233-4120","3.3","8","94","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7298865,-117.1736212,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954b4d4cb3373:0xeb9880a5726f9ed7!8m2!3d32.7298865!4d-117.1736212!16s%2Fg%2F1tdd5k5f?hl=en&entry=ttu"
"Shell","3901 Governor Dr, San Diego, CA 92122","USD","Regular","6.3","$6.30","gallon","2023-10-02T07:57:52.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-01T15:11:50.000Z","USD","Premium","6.66","$6.66","gallon","2023-10-02T07:24:18.000Z",,,,,,,"https://find.shell.com/us/fuel/10087441-3901-governor-dr","(858) 453-0676","3.3","20","44","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.854389,-117.204065,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc00c3c5e83c91:0x79f3023e3d9dff45!8m2!3d32.854389!4d-117.204065!16s%2Fg%2F11c3p222b8?hl=en&entry=ttu"
"Chevron","3502 National Ave, San Diego, CA 92113","USD","Regular","6.7","$6.70","gallon","2023-10-02T11:38:51.000Z","USD","Midgrade","6.9","$6.90","gallon","2023-10-02T14:44:06.000Z","USD","Premium","7","$7.00","gallon","2023-10-02T14:44:06.000Z",,,,,,,"https://www.chevronwithtechron.com/station/3502-National-Avenue-San-Diego-CA-92113-id301941",,"2.6","18","19","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.6962742,-117.1186346,17z/data=!3m1!4b1!4m6!3m5!1s0x80d953a44e8f40e3:0xd21ce88ad25a143a!8m2!3d32.6962742!4d-117.1186346!16s%2Fg%2F1vnnjpkm?hl=en&entry=ttu"
"ARCO","5401 University Ave, San Diego, CA 92105",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.arco.com/en-us/southwest/find-a-station/","(619) 669-5050","3.9","19","167","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.748339,-117.07897,17z/data=!3m1!4b1!4m6!3m5!1s0x80d956a75e682493:0xabcad45d2de5fda7!8m2!3d32.748339!4d-117.07897!16s%2Fg%2F1q6kk896r?hl=en&entry=ttu"
"Shell","1011 A St, San Diego, CA 92101","USD","Regular","7","$7.00","gallon","2023-10-02T12:29:08.000Z","USD","Midgrade","7.1","$7.10","gallon","2023-10-02T12:05:49.000Z","USD","Premium","7.2","$7.20","gallon","2023-10-02T12:05:49.000Z",,,,,,,"https://find.shell.com/us/fuel/10008234-1011-a-st","(619) 232-2906","3.3","4","124","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7185443,-117.1550452,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954a0d7ccd0db:0xfefe67980ce0a72!8m2!3d32.7185443!4d-117.1550452!16s%2Fg%2F1tgm34bl?hl=en&entry=ttu"
"ARCO","3296 El Cajon Blvd, San Diego, CA 92104","USD","Regular","6.5","$6.50","gallon","2023-10-02T13:38:28.000Z","USD","Midgrade","6.6","$6.60","gallon","2023-10-01T16:06:42.000Z","USD","Premium","6.8","$6.80","gallon","2023-10-01T16:06:42.000Z",,,,,,,"https://www.arco.com/en-us/southwest/find-a-station/","(619) 282-7024","4.1","60","162","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.755565,-117.1225749,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9545764355b8d:0x3b27b89a74ffdbb7!8m2!3d32.755565!4d-117.1225749!16s%2Fg%2F1vv2sjg0?hl=en&entry=ttu"
"Fast Fuel Car Care Center","4505 Clairemont Mesa Blvd, San Diego, CA 92117","USD","Regular","5.88","$5.88","gallon","2023-10-02T14:33:06.000Z","USD","Midgrade","5.88","$5.88","gallon","2023-10-02T09:55:25.000Z","USD","Premium","6.08","$6.08","gallon","2023-10-02T01:04:20.000Z","USD","Diesel","6.4","$6.40","gallon","2023-10-02T01:04:20.000Z",,"(858) 490-0228","4.3","58","196","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Fast+Fuel+Car+Care+Center/@32.8342681,-117.1943564,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc008af76d25c3:0xfd71c1967e1aee83!8m2!3d32.8342681!4d-117.1943564!16s%2Fg%2F11bvt9hm3g?hl=en&entry=ttu"
"ARCO","6130 Balboa Ave, San Diego, CA 92111","USD","Regular","6.6","$6.60","gallon","2023-09-30T12:22:25.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-09-29T13:50:42.000Z","USD","Premium","7","$7.00","gallon","2023-09-29T08:47:16.000Z",,,,,,,"https://www.arco.com/en-us/southwest/find-a-station/","(858) 737-4122","3.6","59","144","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.820635,-117.1755921,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc0075d0fcff4d:0x62fe5560573eba08!8m2!3d32.820635!4d-117.1755921!16s%2Fg%2F1q6j7gn_b?hl=en&entry=ttu"
"ARCO","4333 Home Ave, San Diego, CA 92105","USD","Regular","6.3","$6.30","gallon","2023-10-02T12:00:41.000Z","USD","Midgrade","6.4","$6.40","gallon","2023-09-29T05:04:39.000Z","USD","Premium","6.7","$6.70","gallon","2023-10-02T05:53:04.000Z","USD","Diesel","6.2","$6.20","gallon","2023-10-02T04:48:31.000Z","https://www.arco.com/en-us/southwest/find-a-station/","(619) 527-4834","4.1","57","282","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.7269498,-117.1015005,17z/data=!3m1!4b1!4m6!3m5!1s0x80d953f53c07452d:0xca2ceab43635c388!8m2!3d32.7269498!4d-117.1015005!16s%2Fg%2F1z44xyzxc?hl=en&entry=ttu"
"ARCO","5109 Imperial Ave, San Diego, CA 92114","USD","Regular","6","$6.00","gallon","2023-10-02T11:10:01.000Z","USD","Midgrade","6.2","$6.20","gallon","2023-10-01T14:28:21.000Z","USD","Premium","6.4","$6.40","gallon","2023-10-01T14:28:21.000Z",,,,,,,"https://www.arco.com/en-us/southwest/find-a-station/","(619) 266-0040","4.1","80","199","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/ARCO/@32.7043377,-117.0847322,17z/data=!3m1!4b1!4m6!3m5!1s0x80d953d97a9eb487:0xf2571f99c326a99!8m2!3d32.7043377!4d-117.0847322!16s%2Fg%2F1q6h_z5nr?hl=en&entry=ttu"
